"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1215","2512788",1890,"1 - Até 5000",9592.47,2,3,3,0,3,18.1,6.1,0,"segundo",0.594
"1216","2512804",8538,"2 - 5001 até 10000",6766.39,2,3,3,0,3,20.7,6.6,0,"primeiro",0.568
"1217","2512903",23955,"4 - 20001 até 50000",9418.77,2,3,3,0,3,24.1,9.8,1,"primeiro",0.585
"1218","2513000",3813,"1 - Até 5000",5749.1,3,2,3,0,2,20.5,6,1,"primeiro",0.563
"1219","2513158",6596,"2 - 5001 até 10000",7102.45,2,2,3,0,3,23.4,6.5,1,"primeiro",0.525
"1220","2513208",6576,"2 - 5001 até 10000",6484.6,1,2,3,0,3,21,6.9,1,"segundo",0.618
"1221","2513307",5933,"2 - 5001 até 10000",6487.62,2,2,3,1,3,20.6,6.8,1,"segundo",0.609
"1222","2513356",3593,"1 - Até 5000",6701.33,3,3,3,0,3,19.5,3.7,1,"primeiro",0.572
"1223","2513406",15213,"3 - 10001 até 20000",9764.47,3,2,3,0,3,16.7,6.8,1,"terceiro",0.682
"1224","2513505",5257,"2 - 5001 até 10000",6819.95,1,2,3,0,3,0,4,1,"primeiro",0.535
"1225","2513604",7160,"2 - 5001 até 10000",6536.3,2,2,3,0,3,32.3,3.8,1,"segundo",0.594
"1226","2513653",2675,"1 - Até 5000",7562.93,3,3,3,0,3,47.5,8.3,1,"segundo",0.622
"1227","2513703",133927,"6 - 100001 até 500000",15515.15,3,3,3,0,3,34.9,6.3,0,"segundo",0.627
"1228","2513802",4601,"1 - Até 5000",7494.28,2,2,3,0,2,22.6,6.6,0,"segundo",0.627
"1229","2513851",2553,"1 - Até 5000",7710.64,2,2,3,0,3,11.7,6.9,1,"segundo",0.6
"1230","2513901",33065,"4 - 20001 até 50000",9329.14,2,3,3,0,3,15.2,5.6,1,"primeiro",0.58
"1231","2513927",4404,"1 - Até 5000",7398.11,2,2,3,0,3,1.4,4.4,0,"segundo",0.606
"1232","2513943",2543,"1 - Até 5000",7325.88,0,2,2,0,2,32.5,2,1,"primeiro",0.589
"1233","2513968",3031,"1 - Até 5000",7032.9,2,2,3,0,3,22,6.6,1,"primeiro",0.548
"1234","2513984",3382,"1 - Até 5000",7688.6,3,3,3,0,3,23,7.3,1,"primeiro",0.58
"1235","2514008",4337,"1 - Até 5000",8250.45,2,2,3,1,3,9.9,7.3,0,"segundo",0.622
"1236","2514107",4437,"1 - Até 5000",5637.96,2,2,3,1,3,25.1,2.4,0,"primeiro",0.552
"1237","2514206",7675,"2 - 5001 até 10000",6354.32,2,2,3,0,3,14.4,7.3,1,"primeiro",0.53
"1238","2514305",6206,"2 - 5001 até 10000",5937.71,2,2,3,0,3,9.3,3.6,1,"primeiro",0.565
"1239","2514404",4711,"1 - Até 5000",8352.73,2,3,3,0,3,24.3,8.1,0,"primeiro",0.577
"1240","2514453",5817,"2 - 5001 até 10000",6561.61,3,2,3,0,3,18.4,6.4,1,"primeiro",0.541
"1241","2514503",19846,"3 - 10001 até 20000",8355.34,1,2,2,1,3,11.5,5.1,1,"primeiro",0.591
"1242","2514552",4015,"1 - Até 5000",5767.97,2,2,3,1,3,23.6,5.9,1,"primeiro",0.565
"1243","2514602",3452,"1 - Até 5000",5730.27,2,1,3,0,3,27.3,4.8,1,"primeiro",0.578
"1244","2514651",1767,"1 - Até 5000",9074.9,3,3,3,0,3,24.3,2.7,1,"primeiro",0.581
"1245","2514701",4114,"1 - Até 5000",8476.42,2,2,3,0,3,27.1,7.4,1,"segundo",0.617
"1246","2514800",3739,"1 - Até 5000",5850.45,1,3,3,1,3,13.6,2.8,1,"primeiro",0.556
"1247","2514909",7774,"2 - 5001 até 10000",7735.55,3,2,3,0,3,25.5,7.5,1,"segundo",0.641
"1248","2515104",11588,"3 - 10001 até 20000",6019.22,3,3,3,0,3,26,7.1,0,"segundo",0.594
"1249","2515203",3411,"1 - Até 5000",6839.2,1,3,3,1,3,16.5,5.7,1,"primeiro",0.581
"1250","2515302",51964,"5 - 50001 até 100000",9001.06,2,3,3,0,3,23.7,6.6,0,"primeiro",0.569
"1251","2515401",10803,"3 - 10001 até 20000",5216.2,3,2,3,1,3,16,6.1,1,"primeiro",0.555
"1252","2515500",13488,"3 - 10001 até 20000",7645.98,2,2,3,1,3,24.9,5.1,1,"segundo",0.628
"1253","2515609",3172,"1 - Até 5000",7997.76,3,2,3,0,3,22.7,7.4,1,"segundo",0.626
"1254","2515708",3067,"1 - Até 5000",12934.87,3,2,3,0,3,11.5,4.1,1,"primeiro",0.586
